Date,Domain,Page Type,Tweet,Country Character,Country Competence,People Character,People Competence,Sentiment
15:29.0,twitter.com,twitter,iran health minister urges government ban entry travelers china chinavirus coronavirus,1,1,1,0,neutral
15:25.0,twitter.com,twitter,due threat novel coronavirus recently adjusted travel advisory china level meaning individuals travel learn restrictions photo,1,1,1,1,neutral
15:25.0,twitter.com,twitter,doctors china arrested revealing truth coronavirus,1,1,0,-1,negative
15:21.0,twitter.com,twitter,china actually vaccine corona virus spreading different countries curing take world coronarvirus china worldwariii,1,-1,1,1,negative
15:17.0,twitter.com,twitter,coronavirus indianarmy responding emergency created facility near manesar quarantine approximately indian students arriving wuhan china students monitored qualified team doctors watch signs infection nationfirst,1,1,0,0,neutral
15:14.0,twitter.com,twitter,i m scared many families separated result today s ban past travelers china deeply disproportionate response coronarvirus driven much white house s nativism real public health concern keepfamiliestogether,1,1,1,1,negative
14:08.0,twitter.com,twitter,china woman wears plastic water bottle cutout cover face walks footbridge hong kong preventative measure following virus outbreak began chinese city wuhan afp,1,1,0,0,negative
14:07.0,twitter.com,twitter,wuhancoronovirus financial impacts coronavirus outbreak impacting automaker factories china teslas newest gigafactory shanghai close toyota idles china facilities ford fiat chrysler place travel restrictions,1,1,1,0,neutral
13:47.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
13:38.0,twitter.com,twitter,update novel coronavirus travel advisory travellers returning china ncov,1,1,1,0,neutral
12:53.0,twitter.com,twitter,new york times first case coronavirus dec local doctors knew problem late dec doctor told wechat group virus disciplined communist party cpc forced admit wrongdoing china,1,1,1,1,negative
12:48.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
12:37.0,twitter.com,twitter,chinas effort reduce travel due coronavirus intensifying weak oil demand global balance return later year opec maintains cuts libyas production stays disrupted could prop brent ice year oott,1,1,1,1,neutral
12:22.0,twitter.com,twitter,according chowell current trajectory outbreak hubei following exponential growth trend outbreak provinces china growing following subexponential growth profile,1,1,1,0,neutral
12:00.0,twitter.com,twitter,china s increasingly aggressive authoritarianism one daunting challenges facing developing established democracies countries pushed back could done,1,1,1,1,neutral
11:52.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
11:14.0,twitter.com,twitter,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown,1,1,1,1,negative
10:45.0,twitter.com,twitter,shocking evidence people hubei province dropping onto floor ill coronavirus china,1,1,1,1,negative
10:44.0,twitter.com,twitter,reversal allow experts china suggests beijings desperation offthecharts wuhancoronavirus,1,1,1,1,neutral
