Full Text,Sentiment,Domain,Date,Page Type,Country Character,Country Competence,People Character,People Competence,text
"RT @EvaSiu21 Close schools until we know how BC is going to be affected. Next 2-3 weeks will be critical. It's not going 2 critically affect education,but will prevent spread of #coronavirus in BC. We have lot of transnational families with parents working in #China & kids in schools #bcpoli",negative,twitter.com,51:08.0,twitter,0.0,0.0,0.0,-1.0,close schools know going affected next weeks critical going critically affect educationbut prevent spread coronavirus lot transnational families parents working china kids schools bcpoli
China SMI: All sector Sales Managers Index reflecting modest positive changes in January. #SMI #China https://t.co/p7AJiuKCRQ,neutral,twitter.com,51:07.0,twitter,0.0,-1.0,9.0,9.0,china smi sector sales managers index reflecting modest positive changes january smi china
RT @sotiridi And Another video of an person who literately fell dead on the ground of being very ill of the #coronavirus in the city of #Wuhan in the #Hubei province in #China. Video contains again disturbing footage. https://t.co/xjOEKjHhaZ,negative,twitter.com,50:49.0,twitter,-1.0,-1.0,9.0,-1.0,another video person literately fell dead ground ill coronavirus city wuhan hubei province china video contains disturbing footage
"RT @aniaid999 GRAPHIC IMAGES!!! #CHINA #wuhan STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! STOP! YOU ARE THE MOST VILE, ABHORRENT AND SENSELESS EVIL HUMANS EVER! KARMA MAY YOU WIPE THESE EVIL PEOPLE FROM OUR PLANET 🚷 https://t.co/XOMrylhZDd",positive,twitter.com,50:37.0,twitter,-1.0,-1.0,-1.0,9.0,graphic images china wuhan stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop stop vile abhorrent senseless evil humans ever karma may wipe evil people planet
RT @RT_com #Spain confirms first case of fast-spreading #coronavirus gripping #China https://t.co/1GriRYqtqT https://t.co/nNSfcDP16J,neutral,twitter.com,50:16.0,twitter,0.0,9.0,9.0,9.0,spain confirms first case fastspreading coronavirus gripping china
India to rescue 400 Indians stranded in coronavirus epicentre Wuhan.... || #India #China #Wuhan #Coronavirus #CoronavirusOutbreak https://t.co/kpYkZKQB3G,negative,twitter.com,50:00.0,twitter,1.0,1.0,1.0,1.0,india rescue indians stranded coronavirus epicentre wuhan india china wuhan coronavirus coronavirusoutbreak
"RT @nntaleb HOW TO REACT TO PANDEMICS can be dowloaded belo @normonics, @yaneerbaryam #ChinaCoronaVirus #China https://t.co/N0TGkbx94f https://t.co/WH79rULG9d",neutral,twitter.com,49:44.0,twitter,0.0,0.0,0.0,0.0,react pandemics dowloaded belo chinacoronavirus china
RT @Nenagh9 @DrTedros This is the time for an end to #DogCatMeatTrade an end to #WetMeatMarkets This is a time for #China to #Evolve This is 2020.... This is a time to stop #China abysmal #Draconian #AnimalAbuse This is a time to #CleanUp ... to #PractiseHygiene #2019nCoV,neutral,twitter.com,49:39.0,twitter,-1.0,0.0,-1.0,0.0,time end dogcatmeattrade end wetmeatmarkets time china evolve time stop china abysmal draconian animalabuse time cleanup practisehygiene ncov
RT @SenRubioPress Confirmed #coronavirus cases in #Xinjiang highlight the ongoing humanitarian crisis for Uyghurs. The 1+ million detained in camps cannot take basic precautions against the spread of the disease. #China should immediately release those detained. #VirusThreatInCamps https://t.co/4URIDbD6oZ,neutral,twitter.com,49:10.0,twitter,-1.0,-1.0,0.0,-1.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
RT @MDMahad39345753 Advice for #Travellers Returning from #China: Let us #protect ourselves from the novel #Coronavirus outbreak and prioritise #health & #hygiene by taking adequate precautions and following the appropriate guidelines. #Chiefs #Pretty #Walls #Lamar #Animal #MissAmericana #stars https://t.co/yWrsF6wI0y,neutral,twitter.com,49:09.0,twitter,1.0,1.0,1.0,0.0,advice travellers returning china let protect novel coronavirus outbreak prioritise health hygiene taking adequate precautions following appropriate guidelines chiefs pretty walls lamar animal missamericana stars
"RT @juliojiangwei A doctor suddenly fell to the ground after 36 hours of continuous work, but he returned after a short rest. He is one of countless doctors, who are doing their best to rescue #coronarvirus carriers.This is my country #China and my city #Wuhan. @yicaichina @trish_regan @ChinaDaily https://t.co/TD4wOSIMmI",negative,twitter.com,49:02.0,twitter,1.0,0.0,1.0,1.0,doctor suddenly fell ground hours continuous work returned short rest one countless doctors best rescue coronarvirus carriersthis country china city wuhan
"RT @sotiridi Even leaked video footage showing you a massive exodus of people trying to leave and avoid major big cities in #China duo to the #CoronaVirus after the #WHO declared it a ""Global health Emergency"" yesterday. https://t.co/zNvB3v2eHH",negative,twitter.com,48:01.0,twitter,0.0,-1.0,0.0,1.0,even leaked video footage showing massive exodus people trying leave avoid major big cities china duo coronavirus declared global health emergency yesterday
RT @USAloveGOD #NYC health officials investigating potential #coronavirus case in #Queens #NewYork A person who recently traveled to #NewYorkCity from #China is being tested for possible coronavirus at Elmhurst General Hospital #CoronavirusOutbreak #Virus https://t.co/k6uGUllFWr via @nypost,neutral,twitter.com,47:47.0,twitter,0.0,0.0,0.0,0.0,nyc health officials investigating potential coronavirus case queens newyork person recently traveled newyorkcity china tested possible coronavirus elmhurst general hospital coronavirusoutbreak virus via
#Coronavirus - #China Cats and dogs ‘thrown from tower blocks’ in China after fake news rumours animals are causing spread💔 🤬🤬🤬🤬 https://t.co/C3VSdWHqyO,negative,twitter.com,47:33.0,twitter,0.0,-1.0,-1.0,-1.0,coronavirus china cats dogs thrown tower blocks china fake news rumours animals causing spread
"RT @GracieNunyabiz 🚨 Whoa. Stop. Read 🚨 #Wuhan #China hits just keep coming! ""The charges brought by the U.S. government against Professor Lieber are extremely serious. Harvard is cooperating with federal authorities, including the National Institutes of Health"" ~ Harvard https://t.co/zuDZRD7UAZ",negative,twitter.com,46:37.0,twitter,0.0,0.0,0.0,-1.0,whoa stop read wuhan china hits keep coming charges brought government professor lieber extremely serious harvard cooperating federal authorities including national institutes health harvard
RT @dmac5dmark2 Interesting: #China is using AbbVie's #HIV drugs as an ad-hoc treatment for pneumonia caused by the novel #coronavirus while the global search for a cure continues #Wuhan #WuhanCoronavirus #WuhanCoronavirusOutbreak https://t.co/t4LsUtrjrq https://t.co/GRanSoUci8,neutral,twitter.com,46:11.0,twitter,0.0,0.0,0.0,0.0,interesting china using abbvies hiv drugs adhoc treatment pneumonia caused novel coronavirus global search cure continues wuhan wuhancoronavirus wuhancoronavirusoutbreak
"RT @steve_hanke Pro-#Chinese, #Communist thugs brutalize #HongKongProtesters peacefully protesting China's influence in HK. Intimidation is tactic straight out of the Communist playbook. https://t.co/wyNhqp4aAT",negative,twitter.com,45:22.0,twitter,-1.0,0.0,-1.0,-1.0,prochinese communist thugs brutalize hongkongprotesters peacefully protesting chinas influence intimidation tactic straight communist playbook
"RT @onlyyoontv Eggs, fresh vegetables, hand wash. Some of the daily necessities that become so precious in an outbreak. #WuhanCoronavirus #China https://t.co/yYJqIfec71",neutral,twitter.com,45:19.0,twitter,0.0,0.0,0.0,1.0,eggs fresh vegetables hand wash daily necessities become precious outbreak wuhancoronavirus china
"RT @rinachandran Forced to stay indoors, more than 40 million people have tuned in to the livestreams of two hospitals being built: Cement mixers become unlikely celebrities in #China #coronavirus lockdown https://t.co/Ja2e1FwylF",negative,twitter.com,45:03.0,twitter,1.0,0.0,1.0,0.0,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown
RT @HotNewsNaija Trump's Proclamation: #Foreign Nationals Who Traveled To #China In Past 2 Weeks Banned Entry To US #travel #worldpowers #climatesecurity #unsc #breaking #news #healthymedicine #healthcare https://t.co/wDpxIztnsS,neutral,twitter.com,44:37.0,twitter,0.0,1.0,0.0,0.0,trumps proclamation foreign nationals traveled china past weeks banned entry travel worldpowers climatesecurity unsc breaking news healthymedicine healthcare
RT @ChalecosAmarill 📹🆘️ INCREIBLE QUE ESTO SUCEDA HOY ... This only happens in China. #China https://t.co/TZgTTl7Hzf,neutral,twitter.com,44:07.0,twitter,-1.0,0.0,0.0,0.0,increible que esto suceda hoy happens china china
"RT @Stratfor In this episode of Stratfor's Essential Geopolitics #podcast, host @fred_burton speaks to Stratfor Global Security Analyst Ben West about the novel #coronavirus that appears to have started in a #Wuhan, #China, market. https://t.co/94XyVhhRmn",neutral,twitter.com,43:36.0,twitter,0.0,0.0,0.0,0.0,episode stratfors essential geopolitics podcast host speaks stratfor global security analyst ben west novel coronavirus appears started wuhan china market
RT @SenRubioPress Confirmed #coronavirus cases in #Xinjiang highlight the ongoing humanitarian crisis for Uyghurs. The 1+ million detained in camps cannot take basic precautions against the spread of the disease. #China should immediately release those detained. #VirusThreatInCamps,neutral,twitter.com,42:48.0,twitter,-1.0,0.0,-1.0,-1.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
"As the #coronavirus outbreak continues to spread across #China, a flurry of early #research is drawing a clearer picture of how the #pathogen behaves and the key factors that will determine whether it can be contained. https://t.co/Lf1Rdlz3wh? Team @biomedsphere",neutral,twitter.com,42:47.0,twitter,1.0,0.0,0.0,0.0,coronavirus outbreak continues spread across china flurry early research drawing clearer picture pathogen behaves key factors determine whether contained team
RT @HK_yellowpepe @ezracheungtoto How about #HongKong? It still opens the door for #China; even Macau is doing better this time. HK civilians are very worried and line up for buying a surgery mask to safeguard our own lives. CLOSE THE BORDER!!!!!! https://t.co/Xeuva1hZTw,negative,twitter.com,42:30.0,twitter,-1.0,0.0,-1.0,0.0,hongkong still opens door china even macau better time civilians worried line buying surgery mask safeguard lives close border
RT @SenRubioPress Confirmed #coronavirus cases in #Xinjiang highlight the ongoing humanitarian crisis for Uyghurs. The 1+ million detained in camps cannot take basic precautions against the spread of the disease. #China should immediately release those detained. #VirusThreatInCamps,neutral,twitter.com,42:24.0,twitter,0.0,-1.0,-1.0,-1.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
"RT @HawleyMO Last week, I asked federal health & security officials about travel to & from #China given #coronavirus. With worsening conditions since then, it’s time to consider restricting all US commercial travel to and from China. Public health must be paramount https://t.co/cMkngC7mQy",neutral,twitter.com,42:15.0,twitter,1.0,0.0,0.0,0.0,last week asked federal health security officials travel china given coronavirus worsening conditions since it s time consider restricting commercial travel china public health must paramount
"RT @SenRubioPress While the #coronavirus spreads, we must continue to take necessary steps to address this global health crisis & protect Americans. @StateDept should halt any new visa approvals in #China until the outbreak is contained.",neutral,twitter.com,42:14.0,twitter,0.0,-1.0,0.0,1.0,coronavirus spreads must continue take necessary steps address global health crisis protect americans halt new visa approvals china outbreak contained
"RT @Southcom #SOUTHCOM's Adm. Craig Faller #SASC Testimony: “While #Russia, #Cuba, & #China prop up this illegitimate Maduro dictatorship, the democracies of the world look for a way to get the Venezuelan people what they deserve: a free & prosperous #Venezuela.” @deptofdefense https://t.co/j2WgpL8KDB",neutral,twitter.com,42:01.0,twitter,0.0,0.0,0.0,0.0,southcoms adm craig faller sasc testimony while russia cuba china prop illegitimate maduro dictatorship democracies world look way get venezuelan people deserve free prosperous venezuela
"RT @ALEXNEWMAN_JOU The @UN @UNHumanRights Gave Regime of Communist #China the Names of Dissidents, Then Persecuted the Whistleblower Who Exposed It - https://t.co/FV16Oz5LFo My latest in @EpochTimes @EmmaReillyTweet",negative,twitter.com,41:45.0,twitter,-1.0,-1.0,-1.0,0.0,gave regime communist china names dissidents persecuted whistleblower exposed latest
RT @anadoluagency In Photos | Turkey begins evacuation of Turks from #China https://t.co/f9P0T4fvzZ https://t.co/fEg5cBoPQs,neutral,twitter.com,41:05.0,twitter,1.0,1.0,0.0,0.0,photos turkey begins evacuation turks china
RT @SenRubioPress Confirmed #coronavirus cases in #Xinjiang highlight the ongoing humanitarian crisis for Uyghurs. The 1+ million detained in camps cannot take basic precautions against the spread of the disease. #China should immediately release those detained. #VirusThreatInCamps,neutral,twitter.com,40:38.0,twitter,0.0,-1.0,0.0,-1.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
RT @CoronaLATEST LATEST: USA to ban foreigners that visited China in the last 14 days from entering the country. #coronavirus #CoronavirusOutbreak #china,negative,twitter.com,39:17.0,twitter,0.0,-1.0,0.0,0.0,latest usa ban foreigners visited china last days entering country coronavirus coronavirusoutbreak china
"RT @steve_hanke Pro-#Chinese, #Communist thugs brutalize #HongKongProtesters peacefully protesting China's influence in HK. Intimidation is tactic straight out of the Communist playbook. https://t.co/wyNhqp4aAT",negative,twitter.com,39:15.0,twitter,-1.0,0.0,-1.0,-1.0,prochinese communist thugs brutalize hongkongprotesters peacefully protesting chinas influence intimidation tactic straight communist playbook
"RT @SenRubioPress While the #coronavirus spreads, we must continue to take necessary steps to address this global health crisis & protect Americans. @StateDept should halt any new visa approvals in #China until the outbreak is contained.",neutral,twitter.com,39:02.0,twitter,-1.0,-1.0,0.0,1.0,coronavirus spreads must continue take necessary steps address global health crisis protect americans halt new visa approvals china outbreak contained
RT @SenRubioPress Confirmed #coronavirus cases in #Xinjiang highlight the ongoing humanitarian crisis for Uyghurs. The 1+ million detained in camps cannot take basic precautions against the spread of the disease. #China should immediately release those detained. #VirusThreatInCamps,neutral,twitter.com,38:22.0,twitter,-1.0,-1.0,-1.0,-1.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
"脏中国人！残酷的中国人！耻辱！耻辱！耻辱！SICK videos of dogs being burned alive in China's cruel and dirty meat markets have been released by animal rights activists. GRAFIC WARNING! #Chinese spreading their discussing dirty, cruel behavior. #Beijing #Shanghai #PRC #YULIN https://t.co/X3hot7IDO2",negative,twitter.com,37:40.0,twitter,-1.0,-1.0,-1.0,-1.0,sick videos dogs burned alive chinas cruel dirty meat markets released animal rights activists grafic warning chinese spreading discussing dirty cruel behavior beijing shanghai prc yulin
"RT @TravelGov Health Alert: There is an ongoing outbreak of respiratory illness caused by a novel (new) #coronavirus first identified in Wuhan, #China. Additional cases have been identified in other international locations. Be prepared for travel restrictions with little or no advance notice. https://t.co/UlCH62ScNZ",neutral,twitter.com,37:20.0,twitter,-1.0,0.0,-1.0,-1.0,health alert ongoing outbreak respiratory illness caused novel new coronavirus first identified wuhan china additional cases identified international locations prepared travel restrictions little advance notice
#WuhanChina #coronarvirus #china #WORLDSTAR #saycheese TRAGIC 🌿🕊 https://t.co/6WJ3elS36y,neutral,twitter.com,37:08.0,twitter,0.0,0.0,0.0,0.0,wuhanchina coronarvirus china worldstar saycheese tragic
"RT @kaiyanchen1208 Some media in #China falsely reported that the coronavirus can be spread by pets like #cats and #dogs. The Chinese ignored the truth, they choose to kill their #pets , it have thrown out of the windows from tall buildings. #Coronavirus #ChinaPneumonia #ChinaCoronaVirus https://t.co/Md2FdlKVBU",negative,twitter.com,36:51.0,twitter,-1.0,-1.0,-1.0,-1.0,media china falsely reported coronavirus spread pets like cats dogs chinese ignored truth choose kill pets thrown windows tall buildings coronavirus chinapneumonia chinacoronavirus
RT @SenRubioPress Confirmed #coronavirus cases in #Xinjiang highlight the ongoing humanitarian crisis for Uyghurs. The 1+ million detained in camps cannot take basic precautions against the spread of the disease. #China should immediately release those detained. #VirusThreatInCamps,neutral,twitter.com,36:32.0,twitter,-1.0,0.0,-1.0,0.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
"RT @GuoLibrary @BillGertz @marcorubio @Jkylebass @MischaEDM @robert_spalding @BaldingsWorld @IanHFletch @WarrenPlatts @anderscorr @geoff_p_wade @GregWAutry @DanRDimicco @joshrogin @ding_gang @BRICBreaker @SariArhoHavren @JohnHemmings2 @dktatlow @RobertClark87 @AMFChina @ajphelo @benedictrogers @JackHHazlewood @1stculturetours @BenKTallmadge @IndoPac_Info @BoycottHegemony @RoyalSkinFood @halliburton50 @maryann_3040 @VOG2020 @sarawei3 @HimalayaGlobal @AndrewSErickson @DTinLosAngeles @David90582574 #China should be #quarantined until it begins to make progress towards democracy, #humanrights, and free speech/ Via @MauraMoynihan1 @anderscorr https://t.co/5rNqZIhmj4",neutral,twitter.com,36:18.0,twitter,-1.0,-1.0,-1.0,1.0,china quarantined begins make progress towards democracy humanrights free speech via
RT @SenRubioPress Confirmed #coronavirus cases in #Xinjiang highlight the ongoing humanitarian crisis for Uyghurs. The 1+ million detained in camps cannot take basic precautions against the spread of the disease. #China should immediately release those detained. #VirusThreatInCamps,neutral,twitter.com,36:12.0,twitter,-1.0,0.0,-1.0,0.0,confirmed coronavirus cases xinjiang highlight ongoing humanitarian crisis uyghurs million detained camps cannot take basic precautions spread disease china immediately release detained virusthreatincamps
@rioferdy5 Please be our director of football @ManUtd #Ighalo Closing deals in #china and #Portugal from #Lagos,neutral,twitter.com,36:00.0,twitter,0.0,0.0,1.0,1.0,please director football ighalo closing deals china portugal lagos
RT @GavinMacSkin #DeltaAirlines & #AmericanAirlines stop flights to #China due to health concerns from the #coronavirus outbreak. American ceases flights to #Beijing and #Shanghai today & resume March 27. Delta stops Feb. 6 & restarts April 30. https://t.co/TJERJvmVeC,neutral,twitter.com,35:53.0,twitter,0.0,0.0,0.0,0.0,deltaairlines americanairlines stop flights china due health concerns coronavirus outbreak american ceases flights beijing shanghai today resume march delta stops feb restarts april
RT @CoronaLATEST 20 patients recovered from coronavirus in Wuhan on Friday. #coronavirus #coronavirusoutbreak #china https://t.co/D5vT7mltsr,negative,twitter.com,35:41.0,twitter,0.0,0.0,1.0,1.0,patients recovered coronavirus wuhan friday coronavirus coronavirusoutbreak china
RT @telesurenglish #China | Citizens are being discriminated against abroad all due to fear-mongering over the #Coronavirus #WuhanCoronavirus #coronaviruschina #coronaviruswuhan https://t.co/ACZFU2mLCv,negative,twitter.com,35:18.0,twitter,0.0,0.0,-1.0,0.0,china citizens discriminated abroad due fearmongering coronavirus wuhancoronavirus coronaviruschina coronaviruswuhan
RT @HKWORLDCITY 🇸🇪 Swedish media calls for action against attacks from Chinese officials #Sweden #China https://t.co/orJmSELvMS,negative,twitter.com,35:06.0,twitter,-1.0,-1.0,-1.0,-1.0,swedish media calls action attacks chinese officials sweden china
"RT @rinachandran Forced to stay indoors, more than 40 million people have tuned in to the livestreams of two hospitals being built: Cement mixers become unlikely celebrities in #China #coronavirus lockdown https://t.co/Ja2e1FwylF",negative,twitter.com,34:55.0,twitter,-1.0,1.0,1.0,1.0,forced stay indoors million people tuned livestreams two hospitals built cement mixers become unlikely celebrities china coronavirus lockdown
"#BTC #Bitcoin 13,866 coming #Crypto #China #Blockchain #Bakkt #Fidelity #DigitalAssets #DigitalGold #Coinbase #Binance #Bitstamp #Bitmex #XRP #Ripple #XRPcommunity #XRPtheStandard #LTC #Litecoin #BCH #BSV https://t.co/tZxf7MJrcK",neutral,twitter.com,34:51.0,twitter,0.0,0.0,0.0,1.0,btc bitcoin coming crypto china blockchain bakkt fidelity digitalassets digitalgold coinbase binance bitstamp bitmex xrp ripple xrpcommunity xrpthestandard ltc litecoin bch bsv
RT @CoronaLATEST 20 patients recovered from coronavirus in Wuhan on Friday. #coronavirus #coronavirusoutbreak #china https://t.co/D5vT7mltsr,negative,twitter.com,34:23.0,twitter,0.0,0.0,1.0,1.0,patients recovered coronavirus wuhan friday coronavirus coronavirusoutbreak china
